# question: 로마서 7장에서 바울이 고백하는 '내면의 갈등'에 대한 개혁주의적 해석은 무엇인가?
# start: 2026-04-22T08:18:22.772266
# interval_sec: 1.0
# metrics: sm_pct=SM점유율, mem_pct=메모리컨트롤러점유율, pwr_w=현재전력, pwr_limit_w=전력한계, utilization_percent=pwr_w/pwr_limit_w*100 (주 사용률)
timestamp,gpu_index,utilization_percent,sm_pct,mem_pct,pwr_w,pwr_limit_w
2026-04-22 08:18:22.772,0,44.77,0,0,134.31,300.00
2026-04-22 08:18:22.772,1,36.35,0,0,109.05,300.00
2026-04-22 08:18:22.772,2,35.34,0,0,106.03,300.00
2026-04-22 08:18:22.772,3,24.47,0,0,73.42,300.00
2026-04-22 08:18:24.228,0,80.25,100,86,240.76,300.00
2026-04-22 08:18:24.228,1,84.11,100,86,252.32,300.00
2026-04-22 08:18:24.228,2,82.66,100,87,247.97,300.00
2026-04-22 08:18:24.228,3,80.43,100,86,241.28,300.00
2026-04-22 08:18:27.457,0,80.11,100,85,240.32,300.00
2026-04-22 08:18:27.457,1,82.26,100,86,246.78,300.00
2026-04-22 08:18:27.457,2,67.65,100,85,202.95,300.00
2026-04-22 08:18:27.457,3,73.59,100,85,220.78,300.00
# end: 2026-04-22T08:18:29.398284
# ===== SUMMARY =====
# GPU 0: util(pwr)=68.4% avg / 80.3% max, sm=66.7% avg / 100% max, mem=57.0% avg / 86% max, pwr=205.1W avg, samples=3
#   └ steady[1:3] (2/3): util(pwr)=80.2%, sm=100.0%, mem=85.5%, pwr=240.5W
# GPU 1: util(pwr)=67.6% avg / 84.1% max, sm=66.7% avg / 100% max, mem=57.3% avg / 86% max, pwr=202.7W avg, samples=3
#   └ steady[1:3] (2/3): util(pwr)=83.2%, sm=100.0%, mem=86.0%, pwr=249.6W
# GPU 2: util(pwr)=61.9% avg / 82.7% max, sm=66.7% avg / 100% max, mem=57.3% avg / 87% max, pwr=185.7W avg, samples=3
#   └ steady[1:3] (2/3): util(pwr)=75.2%, sm=100.0%, mem=86.0%, pwr=225.5W
# GPU 3: util(pwr)=59.5% avg / 80.4% max, sm=66.7% avg / 100% max, mem=57.0% avg / 86% max, pwr=178.5W avg, samples=3
#   └ steady[1:3] (2/3): util(pwr)=77.0%, sm=100.0%, mem=85.5%, pwr=231.0W
# OVERALL: util(pwr)=64.3% avg / 84.1% max, sm=66.7% avg, mem=57.2% avg, total_samples=12
# STEADY (램프업/테일오프 제외, 8/12 samples): util(pwr)=78.9%, sm=100.0%, mem=85.8%
# ===> GPU 평균 사용률: 약 79% (정상 구간 전력 기반)
# ===> 메모리 평균 사용률 : 약 86%
